縣市名稱,學校名稱,學級,公/私立,測製年月,範圍圖形,中心經度,中心緯度,公/私立.1,經緯度
新北市,國立空中大學,大專院校,公立,201803,Polygon,121.4692825,25.08724811,公立,"[[121.46962617131062, 25.08828853064414], [121.46967493262538, 25.088251000054893], [121.46967736424091, 25.08832444481516], [121.4697817098606, 25.088242211746472], [121.46980029898236, 25.088226850295673], [121.46972687677189, 25.088221404084184], [121.46966050609875, 25.0881751466515], [121.46973570557142, 25.087926798912182], [121.469778013091, 25.087795839061414], [121.46979434628643, 25.087745293296333], [121.4698285004013, 25.0876314042596], [121.46993413498627, 25.08732354624012], [121.4699461571354, 25.08728897575647], [121.4700399118258, 25.08700894371162], [121.46998009848157, 25.086992250658405], [121.46981322261672, 25.086945679609027], [121.4695262143047, 25.086865588098348], [121.46941937025915, 25.086835763316905], [121.46939443075605, 25.086828809335152], [121.46936116482557, 25.08681952535742], [121.4695785898638, 25.086258112315782], [121.46956971681485, 25.086255413913573], [121.46953289459854, 25.086244200187963], [121.46952161966672, 25.086240769080142], [121.46943191649336, 25.086213472093732], [121.46934453586508, 25.08618688995312], [121.4686992748831, 25.085974647911527], [121.46862876580894, 25.085958042254738], [121.46860411841716, 25.085952242809], [121.46856491493963, 25.08597430484833], [121.46854122527654, 25.085990919099373], [121.46799361972121, 25.086780907180472], [121.4676149963755, 25.087257889835836], [121.46717800847222, 25.08776370140439], [121.46782667750105, 25.087957883025993], [121.46841361420509, 25.088052722081525], [121.46913577210832, 25.08820653610445], [121.46942142212328, 25.088285838149552], [121.46957464053585, 25.08834333167059], [121.46962617131062, 25.08828853064414]]"
桃園市,桃園市原住民族部落大學,大專院校,私立,202110,Polygon,121.2819277,24.8960707,私立,"[[121.28245721343885, 24.896163198684796], [121.28244157267278, 24.89605828173583], [121.28243373667294, 24.89600765606248], [121.28249981702882, 24.896002466020278], [121.28249185797148, 24.895967369495086], [121.28249175573889, 24.89590069467792], [121.28249176319251, 24.895899620279728], [121.28248848767468, 24.895900005675102], [121.28240864535482, 24.895855953574465], [121.28210091578487, 24.89589255009884], [121.2818760138407, 24.895919265922377], [121.28147238326086, 24.895988923851316], [121.2813274575563, 24.89603170304244], [121.28127448125214, 24.89609740354167], [121.28125844577248, 24.896110543059418], [121.28121329825922, 24.896193346698183], [121.2811837769014, 24.896278964835588], [121.28118055069113, 24.896322975520302], [121.28118569644147, 24.89632232480461], [121.28154279150704, 24.896277132237582], [121.28213180916072, 24.896201887216197], [121.28245721343885, 24.896163198684796]]"
苗栗縣,苗栗縣大明社區大學,大專院校,私立,202107,Polygon,120.8339225,24.55594868,私立,"[[120.83440007877708, 24.55616026880693], [120.83399502541793, 24.555446766422786], [120.83396610721144, 24.555449966917227], [120.83395038928685, 24.555451710237982], [120.83352490936645, 24.555498814183398], [120.83348165173223, 24.555506404847794], [120.83348089085474, 24.555506981856457], [120.83372366095153, 24.556280285612402], [120.83374392830952, 24.556362055561262], [120.83374405597472, 24.556362561320054], [120.83376775615604, 24.556356411696164], [120.8341113985253, 24.556267341035817], [120.834204517651, 24.55623771134297], [120.83434363274412, 24.556182625525572], [120.83440007877708, 24.55616026880693]]"
高雄市,高雄市立空中大學,大專院校,私立,201208,Polygon,120.3460712,22.5667285,私立,"[[120.34672404404813, 22.56698761910408], [120.34679333273586, 22.56617639025341], [120.34680818341688, 22.566018958673894], [120.34683262869552, 22.56586497249567], [120.3465970142267, 22.5658254498155], [120.34593006174073, 22.565869780837872], [120.34556161247549, 22.566360603080923], [120.34559349852215, 22.5663894237696], [120.34559353918188, 22.56638946186452], [120.34562939172947, 22.566413915138817], [120.34562944794682, 22.566413953297044], [120.34565179844525, 22.56642516300965], [120.34535371061361, 22.566814844281218], [120.34538348656305, 22.56681011599596], [120.3457067129975, 22.566789902491827], [120.34571319000902, 22.566868816580985], [120.3457582948343, 22.567437718931828], [120.3457598734754, 22.567437824695844], [120.34592403297256, 22.56744815119514], [120.34609932463458, 22.56744582368945], [120.346528092052, 22.56744011147185], [120.34670003854768, 22.56743782299339], [120.34671403892669, 22.56742954806815], [120.34672404404813, 22.56698761910408]]"
臺東縣,國立空中大學臺東學習指導中心,大專院校,公立,202212,Polygon,121.1222534,22.75523178,公立,"[[121.12244168201406, 22.754951509144277], [121.12202050498631, 22.75511231866827], [121.12201340327042, 22.75511757110489], [121.12200940500077, 22.755130640210613], [121.12200198284008, 22.755178564368162], [121.12200417753905, 22.755193779927218], [121.12213158164082, 22.755495434458677], [121.12221904098301, 22.755463014901817], [121.12232817650205, 22.755422560974754], [121.12240537038458, 22.75539544766572], [121.12242112844629, 22.755389913131527], [121.12255527778842, 22.75522871527173], [121.12255407852575, 22.755213871033902], [121.12244168201406, 22.754951509144277]]"
金門縣,國立空中大學金門學習指導中心,大專院校,公立,201701,Polygon,118.3129599,24.42196927,公立,"[[118.31362139357488, 24.42082980265999], [118.31356627974942, 24.420829135922634], [118.31319064952032, 24.42101265224118], [118.31300041384479, 24.421106477017727], [118.31248258428481, 24.421304344389526], [118.31237316971185, 24.421344475989372], [118.31219447638136, 24.421521477020466], [118.31199877052335, 24.421718873954504], [118.31193250772291, 24.42180797023224], [118.31172656061551, 24.422095459558914], [118.31184639632087, 24.422169159210007], [118.3118293112019, 24.422197550744507], [118.3119022036698, 24.422228188155444], [118.31191539875427, 24.422223948625064], [118.31192889388778, 24.42222492630205], [118.31194287157751, 24.422229107725002], [118.3119533718256, 24.42223374826583], [118.31194802563073, 24.422240590276324], [118.31198789735626, 24.42226557206337], [118.3120962915165, 24.42230734846942], [118.31278638794744, 24.422632461364692], [118.31342590873058, 24.42293421784384], [118.31386870326264, 24.423136593981692], [118.31393688797424, 24.42309894354363], [118.31392432270039, 24.423081006341175], [118.31388409779137, 24.423105129342066], [118.3137768801344, 24.423037786821073], [118.3136416714608, 24.422955338945062], [118.31350432679632, 24.422873856365754], [118.31339983518968, 24.42281304460402], [118.31333034903817, 24.422766738792493], [118.3132631383373, 24.422708144444417], [118.31321609597903, 24.422665586946156], [118.31315208711037, 24.422589536636444], [118.31309932570095, 24.422512554961042], [118.31308448805297, 24.422482900852092], [118.31307018481284, 24.42241831734926], [118.31305739177843, 24.422384213258518], [118.31301543997255, 24.422297762553782], [118.31301140987082, 24.42228629596777], [118.31298901947802, 24.42223105745873], [118.31298071347902, 24.4222025335386], [118.31297333314875, 24.42213275472607], [118.31297466092498, 24.422087535374413], [118.31297874537222, 24.42206167870464], [118.31298648634774, 24.42203070040993], [118.31299859508394, 24.421998007511746], [118.31300746637494, 24.421966068274678], [118.31303245392208, 24.42187848633815], [118.31304408698638, 24.42180436877114], [118.31304966838857, 24.4217058825522], [118.31304533313266, 24.42165264808268], [118.31303479211242, 24.421552717332403], [118.31304300583344, 24.42144158398207], [118.31305001003118, 24.421411902466385], [118.31308280829944, 24.421318830388483], [118.31309291163504, 24.42129953682777], [118.31312759994627, 24.421248907927524], [118.3131360959066, 24.42123872600834], [118.3131481832597, 24.421226339318753], [118.31317163597996, 24.421207422254064], [118.31327697374567, 24.421142721818576], [118.31354184906398, 24.420977696330205], [118.31366503315031, 24.420913220911974], [118.31370196900585, 24.420896359250275], [118.31367205510703, 24.420812289000988], [118.31362139357488, 24.42082980265999]]"
澎湖縣,國立空中大學澎湖學習指導中心,大專院校,公立,202206,Polygon,119.5817796,23.56077374,公立,"[[119.58230965026858, 23.560833749385306], [119.58223289946484, 23.560482083357094], [119.5819933961625, 23.560527103975687], [119.58194605648085, 23.560535999404554], [119.58192036638731, 23.560539017586027], [119.5819062991905, 23.560538821912935], [119.5818913385755, 23.56053861061946], [119.58186581671391, 23.56053356457505], [119.58183850730497, 23.56052343152033], [119.58181396406657, 23.560508385846486], [119.58179410061729, 23.560491001103813], [119.5817772032018, 23.56047093605996], [119.58170028318737, 23.560353471984882], [119.58148184690283, 23.560466119146405], [119.58149626241861, 23.560489818958864], [119.58160814041962, 23.560662447097805], [119.5816705639383, 23.560763173677152], [119.58166780843176, 23.56076450233209], [119.58158335736918, 23.56080811870201], [119.58154106279771, 23.560828934304656], [119.58150505387302, 23.56084727299937], [119.58144205872763, 23.560879293380573], [119.58146061132379, 23.56090953695118], [119.58151024077151, 23.560990424263824], [119.58153564293974, 23.561036806403994], [119.58154286252407, 23.56104821922125], [119.58155059574152, 23.561057262510648], [119.58155811438819, 23.56106406902446], [119.58156767568035, 23.561069157658892], [119.58158097342853, 23.56107167508537], [119.581598818517, 23.561072246742086], [119.58161103902594, 23.56107015217558], [119.58161273728761, 23.56106986499719], [119.58221743957394, 23.560963442564887], [119.58233334716653, 23.56094233665458], [119.58233127723345, 23.560936304392303], [119.58231773584846, 23.560880950230782], [119.58230965026858, 23.560833749385306]]"
